종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
282330,BGF리테일,"122,000","1,700","1.41","9,793,131,500","2,108,636,532,000"
079160,CJ CGV,"5,980","100","1.70","2,350,176,455","990,179,271,640"
000120,CJ대한통운,"102,300","3,300","3.33","5,709,521,500","2,333,702,791,200"
097950,CJ제일제당,"212,000","1,500","0.71","16,443,378,250","3,191,487,432,000"
000990,DB하이텍,"112,900","9,900","9.61","60,696,292,800","4,911,667,985,200"
001530,DI동일,"20,300","910","4.69","2,125,325,205","400,504,384,000"
000210,DL,"43,000","2,750","6.83","6,048,726,350","901,103,012,000"
375500,DL이앤씨,"45,800","2,250","5.17","19,275,701,125","1,772,167,933,400"
007340,DN오토모티브,"25,450","1,250","5.17","3,850,054,650","1,489,101,514,250"
017940,E1,"91,800","5,300","6.13","3,340,739,150","629,748,000,000"
365550,ESR켄달스퀘어리츠,"4,365","-5","0.11","1,152,188,650","1,074,178,485,000"
383220,F&F,"70,900","100","0.14","6,292,145,750","2,715,971,617,500"
007700,F&F홀딩스,"20,250","300","1.50","640,307,010","792,065,931,750"
114090,GKL,"12,910","180","1.41","3,570,702,375","798,556,699,700"
006360,GS건설,"19,200","900","4.92","22,941,132,220","1,643,164,608,000"
007070,GS리테일,"23,300","1,100","4.95","8,073,240,950","1,948,052,769,500"
499790,GS피앤엘,"53,900","4,150","8.34","18,945,384,650","1,068,882,329,900"
012630,HDC,"21,000","1,670","8.64","6,399,797,685","1,254,576,141,000"
294870,HDC현대산업개발,"21,300","1,200","5.97","8,964,694,300","1,403,826,129,000"
267270,HD건설기계,"135,900","28,600","26.65","308,829,486,550","6,519,682,636,200"
071970,HD현대마린엔진,"87,100","3,100","3.69","25,192,282,750","2,954,562,214,500"
097230,HJ중공업,"25,000","900","3.73","14,610,961,250","2,257,383,600,000"
204320,HL만도,"62,900","1,500","2.44","64,890,927,100","2,953,602,848,000"
298050,HS효성첨단소재,"261,000","30,000","12.99","14,789,506,500","1,169,266,428,000"
415640,KB발해인프라,"10,030","20","0.20","1,179,094,215","1,229,131,846,440"
002380,KCC,"497,500","23,500","4.96","14,635,553,750","4,421,019,322,500"
003620,KG모빌리티,"3,750","85","2.32","9,943,199,191","758,905,920,000"
016380,KG스틸,"5,490","100","1.86","1,378,176,780","549,048,844,530"
093050,LF,"19,400","400","2.11","1,015,229,240","567,256,000,000"
011070,LG이노텍,"244,500","6,500","2.73","48,724,648,750","5,786,607,661,500"
229640,LS에코에너지,"40,950","2,150","5.54","6,559,735,675","1,254,088,795,050"
108320,LX세미콘,"54,400","1,300","2.45","4,486,679,150","884,777,920,000"
001120,LX인터내셔널,"39,400","1,600","4.23","5,767,840,500","1,527,144,000,000"
383800,LX홀딩스,"8,620","150","1.77","1,746,123,985","657,539,547,800"
181710,NHN,"32,050","1,050","3.39","1,135,985,125","1,049,738,104,950"
030190,NICE평가정보,"16,360","-200","1.21","1,031,166,050","963,792,581,720"
010060,OCI홀딩스,"118,000","7,300","6.59","19,035,659,100","2,203,087,376,000"
011790,SKC,"117,000","5,600","5.03","30,349,778,000","4,430,590,866,000"
018670,SK가스,"226,000","3,500","1.57","2,800,275,000","2,089,425,144,000"
001740,SK네트웍스,"5,220","170","3.37","8,345,666,715","1,155,070,648,440"
006120,SK디스커버리,"55,100","900","1.66","3,549,986,750","1,010,966,810,500"
395400,SK리츠,"5,610","70","1.26","1,123,276,520","1,685,736,389,700"
302440,SK바이오사이언스,"49,900","1,300","2.67","6,625,794,000","3,913,891,579,900"
361610,SK아이이테크놀로지,"26,100","550","2.15","3,705,477,575","2,134,643,310,000"
100090,SK오션플랜트,"17,330","60","0.35","13,898,491,205","1,082,745,975,570"
475150,SK이터닉스,"19,490","620","3.29","3,834,400,430","657,866,278,580"
285130,SK케미칼,"65,900","1,700","2.65","4,153,033,500","1,139,988,679,400"
003570,SNT다이내믹스,"51,900","2,550","5.17","4,829,405,900","1,725,814,974,300"
064960,SNT모티브,"35,100","600","1.74","3,164,413,625","931,563,547,200"
100840,SNT에너지,"45,000","3,450","8.30","16,299,654,500","930,635,235,000"
036530,SNT홀딩스,"55,500","3,700","7.14","1,313,789,700","904,865,673,000"
077970,STX엔진,"34,100","1,800","5.57","9,796,877,975","1,369,048,948,300"
069260,TKG휴켐스,"19,740","180","0.92","2,109,849,865","806,943,327,120"
139130,iM금융지주,"16,000","630","4.10","18,260,847,130","2,569,993,328,000"
000500,가온전선,"86,200","5,500","6.82","4,911,638,150","1,426,016,513,000"
009450,경동나비엔,"57,500","1,400","2.50","2,526,176,250","837,694,040,000"
030610,교보증권,"11,930","780","7.00","2,080,638,010","1,359,578,124,730"
001570,금양,"-","0","0.00","0","633,275,240,400"
011780,금호석유화학,"138,400","1,400","1.02","16,376,812,600","3,602,793,092,800"
073240,금호타이어,"5,900","130","2.25","2,853,517,390","1,694,835,693,300"
002350,넥센타이어,"8,040","200","2.55","1,048,056,820","785,249,731,080"
006280,녹십자,"163,300","6,600","4.21","7,085,573,350","1,908,411,655,400"
005250,녹십자홀딩스,"15,100","250","1.68","1,190,204,805","710,125,971,000"
004370,농심,"413,500","9,500","2.35","15,512,459,250","2,515,172,467,000"
023590,다우기술,"50,400","2,350","4.89","7,077,633,425","2,261,277,496,800"
483650,달바글로벌,"157,800","-800","0.50","30,145,416,400","1,955,562,537,000"
353200,대덕전자,"64,700","4,000","6.59","77,819,879,500","3,197,275,047,500"
001680,대상,"21,700","400","1.88","3,465,307,875","751,862,142,500"
003540,대신증권,"31,900","2,450","8.32","10,423,922,975","1,619,671,460,000"
047040,대우건설,"5,120","265","5.46","22,660,069,528","2,127,987,906,560"
003090,대웅,"25,000","1,800","7.76","4,432,301,050","1,453,549,500,000"
069620,대웅제약,"168,200","6,400","3.96","4,486,172,250","1,948,861,915,000"
006650,대한유화,"146,200","-1,600","1.08","13,560,352,150","950,300,000,000"
001440,대한전선,"30,800","4,150","15.57","468,578,069,900","5,742,576,840,000"
005880,대한해운,"2,055","76","3.84","11,918,321,482","663,245,783,700"
192080,더블유게임즈,"52,400","1,400","2.75","2,837,071,000","1,109,489,723,200"
012510,더존비즈온,"94,500","3,000","3.28","14,413,276,700","2,871,173,088,000"
145720,덴티움,"48,200","2,100","4.56","3,389,806,525","533,517,606,000"
026960,동서,"25,750","600","2.39","2,302,559,475","2,567,275,000,000"
000640,동아쏘시오홀딩스,"108,000","2,000","1.89","1,019,627,250","705,934,872,000"
082640,동양생명,"7,200","300","4.35","1,755,573,075","1,161,781,812,000"
006040,동원산업,"41,600","1,300","3.23","2,880,285,750","1,836,556,217,600"
014820,동원시스템즈,"27,950","1,050","3.90","1,357,597,600","810,306,331,900"
336260,두산퓨얼셀,"34,000","2,000","6.25","12,197,580,500","2,226,786,684,000"
032350,롯데관광개발,"24,400","-500","2.01","37,031,307,000","1,940,763,409,600"
089860,롯데렌탈,"31,100","700","2.30","2,443,472,700","1,129,221,966,800"
330590,롯데리츠,"4,375","100","2.34","1,142,948,078","1,264,238,867,500"
000400,롯데손해보험,"1,690","52","3.17","537,796,748","524,468,380,800"
023530,롯데쇼핑,"90,000","6,700","8.04","26,768,641,150","2,545,987,950,000"
020150,롯데에너지머티리얼즈,"41,950","5,150","13.99","27,411,660,625","2,196,731,172,850"
280360,롯데웰푸드,"118,800","-300","0.25","2,519,114,450","1,105,383,391,200"
004000,롯데정밀화학,"48,800","2,150","4.61","3,714,089,125","1,259,040,000,000"
004990,롯데지주,"31,750","1,700","5.66","13,362,581,675","3,330,868,274,750"
005300,롯데칠성,"135,300","700","0.52","6,186,616,250","1,255,433,005,200"
011170,롯데케미칼,"80,800","3,500","4.53","14,378,317,450","3,456,253,855,200"
085620,미래에셋생명,"9,390","220","2.40","812,031,260","1,662,182,014,710"
081660,미스토홀딩스,"46,650","450","0.97","8,085,423,725","2,476,734,336,000"
002840,미원상사,"138,200","2,900","2.14","368,230,400","656,450,000,000"
268280,미원에스씨,"132,000","0","0.00","314,412,800","660,000,000,000"
003850,보령,"9,620","650","7.25","3,914,797,590","825,272,931,340"
005180,빙그레,"75,700","1,200","1.61","2,512,138,000","723,366,717,100"
062040,산일전기,"148,200","12,000","8.81","64,234,540,600","4,526,798,640,000"
000070,삼양홀딩스,"60,400","800","1.34","1,015,291,400","468,896,736,400"
004690,삼천리,"140,400","1,900","1.37","3,572,402,500","569,325,510,000"
031210,서울보증보험,"50,500","800","1.61","3,276,593,250","3,525,990,699,000"
004490,세방전지,"63,700","1,600","2.58","3,496,296,900","882,882,000,000"
001430,세아베스틸지주,"81,500","10,600","14.95","56,740,180,450","2,922,762,698,500"
003030,세아제강지주,"132,600","2,100","1.61","2,544,972,800","549,183,718,200"
075580,세진중공업,"19,270","790","4.27","3,755,526,440","1,095,489,017,120"
336370,솔루스첨단소재,"8,020","340","4.43","1,924,663,290","563,143,098,880"
248070,솔루엠,"15,800","290","1.87","1,938,274,670","755,496,528,800"
462870,시프트업,"33,750","450","1.35","3,707,526,600","1,989,948,600,000"
004170,신세계,"322,000","8,500","2.71","25,188,177,500","3,105,748,282,000"
001720,신영증권,"192,000","19,400","11.24","13,226,993,800","3,156,480,000,000"
